uri;count;total;min;average;max;standarddeviation;persecond;errors
"获取sign";1;12;12;12;12;0;0;0
"获取首页精品推荐";1;243;243;243;243;0;0;0
"登录URI/时间戳加密";1;31;31;31;31;0;0;0
"获取我的小区列表";1;318;318;318;318;0;0;0
"登录";1;3183;3183;3183;3183;0;0;0
"获取其他小区id串";1;366;366;366;366;0;0;0
"获取小区首页广告";1;201;201;201;201;0;0;0
"获取第三方服务类别";1;282;282;282;282;0;0;0
"获取小区其他广告(启动页、呼叫弹屏)";1;204;204;204;204;0;0;0
"login transaction";1;3354;3354;3354;3354;0;0;0
"获取首页海报";1;360;360;360;360;0;0;0
"load transaction";1;1986;1986;1986;1986;0;0;0
