uri;count;total;min;average;max;standarddeviation;persecond;errors
"获取sign";1;23;23;23;23;0;0;0
"获取首页精品推荐";1;159;159;159;159;0;0;0
"登录URI/时间戳加密";1;15;15;15;15;0;0;0
"获取我的小区列表";1;163;163;163;163;0;0;0
"登录";1;747;747;747;747;0;0;0
"获取其他小区id串";1;112;112;112;112;0;0;0
"获取小区首页广告";1;151;151;151;151;0;0;0
"获取第三方服务类别";1;160;160;160;160;0;0;0
"获取小区其他广告(启动页、呼叫弹屏)";1;156;156;156;156;0;0;0
"login transaction";1;875;875;875;875;0;0;0
"获取首页海报";1;167;167;167;167;0;0;0
"load transaction";1;1091;1091;1091;1091;0;0;0
