uri;count;total;min;average;max;standarddeviation;persecond;errors
"获取sign";1;0;0;0;0;0;0;0
"获取首页精品推荐";1;206;206;206;206;0;0;0
"登录URI/时间戳加密";1;0;0;0;0;0;0;0
"获取我的小区列表";1;3442;3442;3442;3442;0;0;0
"登录";1;1030;1030;1030;1030;0;0;0
"获取其他小区id串";1;0;0;0;0;0;0;0
"获取小区首页广告";1;598;598;598;598;0;0;0
"获取第三方服务类别";1;2050;2050;2050;2050;0;0;0
"获取小区其他广告(启动页、呼叫弹屏)";1;206;206;206;206;0;0;0
"login transaction";1;1030;1030;1030;1030;0;0;0
"获取首页海报";1;206;206;206;206;0;0;0
"load transaction";1;6708;6708;6708;6708;0;0;0
