uri;count;total;min;average;max;standarddeviation;persecond;errors
"获取sign";1;0;0;0;0;0;0;0
"获取首页精品推荐";1;2487;2487;2487;2487;0;0;0
"登录URI/时间戳加密";1;0;0;0;0;0;0;0
"获取我的小区列表";1;2841;2841;2841;2841;0;0;0
"登录";1;1013;1013;1013;1013;0;0;0
"获取其他小区id串";1;0;0;0;0;0;0;0
"获取小区首页广告";1;907;907;907;907;0;0;0
"获取第三方服务类别";1;4783;4783;4783;4783;0;0;0
"获取小区其他广告(启动页、呼叫弹屏)";1;1011;1011;1011;1011;0;0;0
"login transaction";1;1013;1013;1013;1013;0;0;0
"获取首页海报";1;5507;5507;5507;5507;0;0;0
"load transaction";1;17536;17536;17536;17536;0;0;0
